isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
LU2868144093;BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged;https://www.justetf.com/en/etf-profile.html?isin=LU2868144093;The BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged seeks to track the JP Morgan ESG EMBI Global Diversified (GBP Hedged) index. The JP Morgan ESG EMBI Global Diversified (GBP Hedged) index tracks ESG (environmental, social and governance) screened, USD emerging market fixed and floating-rate debt securities issued by sovereign and quasi-sovereign entities. Currency hedged to British Pound (GBP). The ETF's TER (total expense ratio) amounts to 0.26% p.a.. The BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged is the only ETF that tracks the JP Morgan ESG EMBI Global Diversified (GBP Hedged) index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged is a very small ETF with 0m Euro assets under management. The ETF was launched on 7 August 2024 and is domiciled in Luxembourg.;BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged se snaží sledovat index JP Morgan ESG EMBI Global Diversified (GBP Hedged). Indexové skladby JP Morgan ESG EMBI Global Diversified (GBP Hedged) Stopuje ESG (environmentální, sociální a správa věcí veřejných), což je rozvíjející se trh s rozvíjejícím se trhem a dluhové cenné papíry s pohyblivou sazbou vydané suverénní a kvazi-sovereign subjekty. Měna zajišťovala britskou libru (GBP). TER (celkový poměr nákladů) ETF činí 0,26% P.A. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF GBP Hedged je velmi malý ETF s vedením 0m euro. ETF byl spuštěn 7. srpna 2024 a je se sídlem v Lucemburku.;0.26%;0.26;EUR 0m;0.0;EUR;GBP;Luxembourg;BNP Paribas;7 August 2024;;;Physical;;;;Yes;Ostatní;False;Globální;557.0;4.79;;;5.31;9.77;;;0.49;;;-8.99;;;;;;;;XETRA;BJL2;1;;;;;;;2025-09-18T12:52:10.508271;success;0;;;;;;;;;;;;;;;;;;;;;Other;100.0;;;;;;;;;;;;;;;;;;;XETRA;GBP;BJL2;BJL2 GYBLJ2IV;BJL2.DEBJL2INAV=IHSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE0000FA5GB7;AXA IM Global High Yield Opportunities UCITS ETF USD Dist;https://www.justetf.com/en/etf-profile.html?isin=IE0000FA5GB7;The AXA IM Global High Yield Opportunities UCITS ETF USD Dist is an actively managed ETF. The ETF invests in high yield corporate bonds from around the world. The securities included are filtered according to ESG criteria (environmental, social and corporate governance). Rating: Sub-Investment Grade. The ETF's TER (total expense ratio) amounts to 0.45% p.a.. The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The AXA IM Global High Yield Opportunities UCITS ETF USD Dist is a very small ETF with 0m Euro assets under management. The ETF was launched on 18 December 2024 and is domiciled in Ireland.;AXA IM Global s vysokým výnosem UCITS ETF USD DIST je aktivně spravovaná ETF. ETF investuje do podnikových dluhopisů s vysokým výnosem z celého světa. Zahrnuté cenné papíry jsou filtrovány podle kritérií ESG (environmentální, sociální a správa a řízení společností). Hodnocení: stupeň sub-investice. TER (celkový poměr nákladů) ETF činí 0,45% P.A .. Úrokový výnos (kupóny) v ETF je distribuován investorům (semifikační ročně). AXA IM Global High Weight Opportunity UCITS ETF USD DIST je velmi malý ETF s vedením 0m euro. ETF byl spuštěn 18. prosince 2024 a je bydliště v Irsku.;0.45%;0.45;EUR 0m;0.0;EUR;USD;Ireland;;18 December 2024;Distributing;Semi annually;Physical;;;risk  Actively managed    Sustainability  Yes;Yes;Dluhopisy;False;Globální;406.0;;;;-5.74;;;;;;;;;;;;;;;gettex;AIGT;5;;;;;;;2025-09-18T12:52:18.742440;success;0;;;;;;;;;;;;;;;;;;;;;Other;100.0;;;;;;;;;;;;;;;;;;;XETRA;USD;AIGU;;;;gettex;EUR;AIGT;;;;Borsa Italiana;EUR;AIGU;;;;SIX Swiss Exchange;USD;AIGU;;;;XETRA;EUR;AIGT;;;;;;;;;;
IE000G5IRVY3;AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF USD Dist;https://www.justetf.com/en/etf-profile.html?isin=IE000G5IRVY3;The AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF USD Dist seeks to track the MSCI Emerging Markets ex China Climate Paris Aligned index. The MSCI Emerging Markets ex China Climate Paris Aligned index tracks stocks from Emerging Market countries (excluding China). The index aims to give greater weight to companies that benefit from the transition to a lower carbon economy. In addition, EU directives on climate protection are taken into account. The parent index is the MSCI Emerging Markets ex China. The ETF's TER (total expense ratio) amounts to 0.27% p.a.. The AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF USD Dist is the cheapest ETF that tracks the MSCI Emerging Markets ex China Climate Paris Aligned index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are distributed to the investors (Semi annually). The AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF USD Dist is a very small ETF with 0m Euro assets under management. The ETF was launched on 11 February 2025 and is domiciled in Ireland.;AXA IM MSCI Emerging Markets Ex-China Equity PAB UCITS ETF USD dist se snaží sledovat index MSCI Emerging Markets Ex China Climate Paříž. Na rozvíjející se trhy MSCI Ex China Climate Paříž sladí indexové akciíy z rozvíjejících se tržních zemí (s výjimkou Číny). Cílem indexu je poskytnout větší váhu společnostem, které těží z přechodu na nižší uhlíkovou ekonomiku. Kromě toho se berou v úvahu směrnice EU o ochraně klimatu. Rodičovským indexem jsou rozvíjející se trhy MSCI Ex Čína. Ter (celkový poměr nákladů) ETF činí 0,27% p.a .. AXA IM MSCI Emerging Markets Ex-China Equity PAB UCITS ETF USD DIST je nejlevnější ETF, který sleduje msci vznikající trhy s indexem v Číně v Číně Climate Paris. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou distribuovány investorům (polo každoročně). AXA IM MSCI Emerging Markets Ex-China Equity PAB UCITS ETF USD DIST je velmi malý ETF s managementem 0m euro. ETF byl spuštěn 11. února 2025 a je bydliště v Irsku.;0.27%;0.27;EUR 0m;0.0;EUR;USD;Ireland;;11 February 2025;Distributing;Semi annually;Physical;;MSCI Emerging Markets;;Yes;Akcie;False;Čína;193.0;;;;;;;;;;;;;;;;;;;XETRA;AXXT;2;;;;;;;2025-09-18T12:52:26.819748;success;0;;;;;;;;;;;;;;;;;;;;;Other;32.0;;;;;;;;;Technology;33.8;Financials;23.08;Industrials;10.03;Materials;5.32;;;XETRA;USD;AXXU;;;;XETRA;EUR;AXXT;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE000PB6R1G0;BNPP RICI Enhanced Erdgas (TR) ETC;https://www.justetf.com/en/etf-profile.html?isin=DE000PB6R1G0;The BNPP RICI Enhanced Erdgas (TR) ETC seeks to track the RICI Enhanced Natural Gas index. The RICI Enhanced Natural Gas index tracks the price of futures contracts on natural gas. The ETC's TER (total expense ratio) amounts to 1.00% p.a.. The BNPP RICI Enhanced Erdgas (TR) ETC is the largest ETC that tracks the RICI Enhanced Natural Gas index. The ETC replicates the performance of the underlying index synthetically with a swap. The BNPP RICI Enhanced Erdgas (TR) ETC is a very small ETC with 0m Euro assets under management. The ETC was launched on 14 September 2016 and is domiciled in Netherlands.;BNPP RICI Endonced Erdgas (TR) atd. Snaží se sledovat index zemního plynu RICI. Index RICI vylepšený index zemního plynu sleduje cenu futures kontraktů na zemní plyn. TER (celkový poměr nákladů) ETC činí 1,00% P.A .. BNPP RICI Endonced Erdgas (TR) atd. Je největší atd., Který sleduje index rozšířeného zemního plynu RICI. ETC replikuje výkon podkladového indexu synteticky s výměnou. BNPP RICI Enhanced Erdgas (TR) atd. Je velmi malý atd. S řízením spravováním 0m euro. ETC byl spuštěn 14. září 2016 a je se sídlem v Nizozemsku.;1.00%;1.0;EUR 0m;0.0;EUR;USD;Netherlands;;14 September 2016;;;Synthetic;;;Commodities, Energy, Natural Gas;;Ostatní;False;Ostatní;;11.92;-66.46;;-6.09;37.3;37.21;;0.32;;;-35.38;;;;;;;;XETRA;BNQE;1;;;;;;;2025-09-18T12:52:32.907594;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XETRA;EUR;BNQE;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;26.0;1.0;1.0;11.0;5.0;8.0
IE00BJBLDK52;Ossiam US ESG Low Carbon Equity Factors UCITS ETF 1A (EUR);https://www.justetf.com/en/etf-profile.html?isin=IE00BJBLDK52;The Ossiam US ESG Low Carbon Equity Factors UCITS ETF 1A (EUR) is an actively managed ETF. The ETF provides access to US companies. The stock selection is based on ESG criteria (Environmental, Social and Governance) and equity factors (Momentum, Size, Value and Low Volatility). The ETF's TER (total expense ratio) amounts to 0.45% p.a.. The dividends in the ETF are accumulated and reinvested in the ETF. The Ossiam US ESG Low Carbon Equity Factors UCITS ETF 1A (EUR) is a very small ETF with 0m Euro assets under management. The ETF was launched on 2 May 2019 and is domiciled in Ireland.;Ossiam US ESG s nízkým uhlíkovým kapitálovým faktorem UCITS ETF 1A (EUR) je aktivně spravovaná ETF. ETF poskytuje přístup k americkým společnostem. Výběr akcií je založen na kritériích ESG (environmentální, sociální a správa věcí veřejných) a faktorů vlastního kapitálu (hybnost, velikost, hodnota a nízká volatilita). TER (poměr celkových nákladů) ETF činí 0,45% p.a. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Ossiam US ESG s nízkým uhlíkovým kapitálovým faktorem UCITS ETF 1A (EUR) je velmi malá ETF s vedením 0m euro. ETF byl spuštěn 2. května 2019 a je se sídlem v Irsku.;0.45%;0.45;EUR 0m;0.0;EUR;EUR;Ireland;;2 May 2019;;;Physical;;;;Yes;Akcie;False;US;318.0;5.13;21.58;78.82;-6.39;18.89;16.98;17.62;0.27;0.4;0.7;-22.12;;;;;;;;gettex;OUFE;3;;;;;;;2025-09-18T12:52:39.498448;success;0;Nvidia;5.14;Microsoft;4.82;Alphabet;2.64;Johnson & Johnson;0.96;;;;;;;;;;;;;United States;92.31;Other;3.45;United Kingdom;1.6;;;;;Technology;29.39;Financials;14.7;Health Care;12.13;Industrials;11.73;;;gettex;EUR;OUFE;;;;Borsa Italiana;EUR;OUFE;OUFE IMOUFEEUIV;;;XETRA;EUR;OUFE;OUFE GYOUFEEUIV;;;;;;;;;;;;;;;2.0;45.0;12.0;1.0;8.0;5.0;19.0
IE000A9QV382;iShares France Government Bond UCITS ETF USD Hedged (Dist);https://www.justetf.com/en/etf-profile.html?isin=IE000A9QV382;The iShares France Government Bond UCITS ETF USD Hedged (Dist) seeks to track the Bloomberg France Treasury Bond (USD Hedged) index. The Bloomberg France Treasury Bond (USD Hedged) index tracks Euro denominated French government bonds. Currency hedged to US Dollar (USD). The ETF's TER (total expense ratio) amounts to 0.22% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The iShares France Government Bond UCITS ETF USD Hedged (Dist) is a very small ETF with 0m Euro assets under management. The ETF was launched on 5 October 2022 and is domiciled in Ireland.;Ishares Francie Government Bond UCITS ETF USD Hedged (Dist) se snaží sledovat index Treasury Bloomberg France Treasury Bond (USD Hedged). Indexový index Bloomberg France Treasury Bond (Hedged USD) sleduje euro denominované francouzské vládní dluhopisy. Měna zajistila americký dolar (USD). TER (celkový poměr výdajů) ETF činí 0,22% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF jsou distribuovány investorům (semifinále každoročně). Ishares Francie Government Bond UCITS ETF USD Hedged (Dist) je velmi malý ETF s spravováním 0m euro. ETF byl spuštěn 5. října 2022 a má bydliště v Irsku.;0.22%;0.22;EUR 0m;0.0;EUR;USD;Ireland;iShares;5 October 2022;Distributing;Semi annually;Physical;;Government Bond;Bonds, EUR, France, Government, All maturities;;Dluhopisy;False;Globální;52.0;-5.55;;;-10.95;9.41;;;;;;-12.57;;;;;;;;Extracted (method 1);IFRD;0;2.88%;2.88;EUR 0.12;0.12;EUR;method2_regex;2025-09-18T12:52:46.425204;success;0;;;;;;;;;;;;;;;;;;;;;Other;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE00BDT8TZ34;Invesco Preferred Shares UCITS UCITS ETF CHF Hedged;https://www.justetf.com/en/etf-profile.html?isin=IE00BDT8TZ34;The Invesco Preferred Shares UCITS UCITS ETF CHF Hedged seeks to track the BofA Merrill Lynch Diversified Core Plus Fixed Rate Preferred Securities (CHF Hedged) index. The BofA Merrill Lynch Diversified Core Plus Fixed Rate Preferred Securities (CHF Hedged) index tracks fixed rate preferred securities. The index contains only securities, which have been issued in the USA and are denominated in US-Dollar. Issuers may come from other countries, but then these countries must hold a rating within the Investment Grade range. Issuers only need a rating of BB- or higher to be eligible for the index. Currency hedged to Swiss Francs (CHF). The ETF's TER (total expense ratio) amounts to 0.55% p.a.. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The Invesco Preferred Shares UCITS UCITS ETF CHF Hedged is a very small ETF with 0m Euro assets under management. The ETF was launched on 8 May 2018 and is domiciled in Ireland.;Preferované akcie Invesco UCITS UCITS ETF CHF Hedged se snaží sledovat index Bofa Merrill Lynch Diversified Core Plus Preferred Securities (CHF Hedged). Indexová indexová hodnota s pevnou sazbou preferovaných cenných papírů s diverzifikovanými jádro a pevnou sazbou (CHF Hedged) Preferované cenné papíry diverzifikované jádro Plus s pevnou sazbou (CHF Hedged). Index obsahuje pouze cenné papíry, které byly vydány v USA a jsou denominovány v americkém dolaru. Emitenti mohou pocházet z jiných zemí, ale pak tyto země musí mít v rozmezí investiční třídy hodnocení. Emitenti potřebují pouze hodnocení BB- nebo vyšší, aby byli způsobilí pro index. Měna byla zajištěna švýcarským frankům (CHF). TER (celkový poměr výdajů) ETF činí 0,55% p.a. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. Preferované akcie Invesco UCITS UCITS ETF CHF Hedged je velmi malý ETF s spravováním 0m euro. ETF byl spuštěn 8. května 2018 a má bydliště v Irsku.;0.55%;0.55;EUR 0m;0.0;EUR;CHF;Ireland;Invesco;8 May 2018;;;Physical;;;Equity, United States, Dividend;;Akcie;False;Globální;253.0;-2.55;2.32;-0.45;4.53;10.75;14.3;13.35;;0.05;;-12.37;;;;;;;;SIX Swiss Exchange;PRFC;1;;;;;;;2025-09-18T12:52:53.276081;success;0;JPMorgan;1.81;;;;;;;;;;;;;;;;;;;United States;74.17;Other;22.03;USA;0.55;;;;;Financials;49.76;Real Estate;5.87;;;;;;;SIX Swiss Exchange;CHF;PRFC;PRFC SWPRFCIN;PRFC.S740ZINAV.DE;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;37.0;6.0;1.0;11.0;10.0;9.0
DE000PR5RCU8;BNPP RICI Enhanced Kupfer (TR) ETC USD;https://www.justetf.com/en/etf-profile.html?isin=DE000PR5RCU8;The BNPP RICI Enhanced Kupfer (TR) ETC USD seeks to track the RICI Enhanced Copper index. The RICI Enhanced Copper index tracks the price of futures contracts on copper. The ETC's TER (total expense ratio) amounts to 0.99% p.a.. The BNPP RICI Enhanced Kupfer (TR) ETC USD is the cheapest ETC that tracks the RICI Enhanced Copper index. The ETC replicates the performance of the underlying index synthetically with a swap. The BNPP RICI Enhanced Kupfer (TR) ETC USD is a very small ETC with 0m Euro assets under management. The ETC was launched on 16 May 2017 and is domiciled in Netherlands.;BNPP RICI Enhanced Kupfer (TR) atd. USD se snaží sledovat index mědi RICI. Index mědi RICI sleduje cenu futures kontraktů na mědě. TER (celkový poměr nákladů) ETC činí 0,99% p.a. ETC replikuje výkon podkladového indexu synteticky s výměnou. BNPP RICI Enhanced Kupfer (TR) atd. USD je velmi malý atd. S řízením 0m euro. ETC byla spuštěna 16. května 2017 a je bydliště v Nizozemsku.;0.99%;0.99;EUR 0m;0.0;EUR;USD;Netherlands;;16 May 2017;;;Synthetic;;;Commodities, Industrial Metals, Copper;;Ostatní;False;Ostatní;;1.05;20.29;;-1.09;17.5;17.49;;0.06;0.36;;-16.26;;;;;;;;XETRA;B4NB;1;;;;;;;2025-09-18T12:53:01.228188;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XETRA;USD;B4NB;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;37.0;1.0;1.0;11.0;5.0;19.0
IE00069MGEE1;AXA IM US High Yield Opportunities UCITS ETF USD Dist;https://www.justetf.com/en/etf-profile.html?isin=IE00069MGEE1;The AXA IM US High Yield Opportunities UCITS ETF USD Dist is an actively managed ETF. The ETF invests in US high yield corporate bonds. The securities included are filtered according to ESG criteria (environmental, social and corporate governance). Rating: Sub-Investment Grade. The ETF's TER (total expense ratio) amounts to 0.35% p.a.. The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The AXA IM US High Yield Opportunities UCITS ETF USD Dist is a very small ETF with 0m Euro assets under management. The ETF was launched on 25 September 2024 and is domiciled in Ireland.;AXA IM US US HIGH WEAR PROPORAJENÍ UCITS ETF USD DIST je aktivně spravovaná ETF. ETF investuje do podnikových dluhopisů s vysokým výnosem. Zahrnuté cenné papíry jsou filtrovány podle kritérií ESG (environmentální, sociální a správa a řízení společností). Hodnocení: stupeň sub-investice. TER (celkový poměr nákladů) ETF činí 0,35% P.A .. Úrokový výnosy (kupóny) v ETF jsou distribuovány investorům (semifikaci ročně). Příležitosti s vysokým výnosem AXA IM USA UCITS ETF USD DIST je velmi malá ETF s vedením 0m euro. ETF byla zahájena 25. září 2024 a má bydliště v Irsku.;0.35%;0.35;EUR 0m;0.0;EUR;USD;Ireland;;25 September 2024;Distributing;Semi annually;Physical;;;risk  Actively managed    Sustainability  Yes;Yes;Dluhopisy;False;US;320.0;;;;-8.82;;;;;;;;;;;;;;;XETRA;AIHT;3;;;;;;;2025-09-18T12:53:07.731380;success;0;;;;;;;;;;;;;;;;;;;;;Other;100.0;;;;;;;;;;;;;;;;;;;Borsa Italiana;EUR;AIHU;;;;XETRA;USD;AIHU;;;;XETRA;EUR;AIHT;;;;;;;;;;;;;;;;;;;;;;
IE0006SEWKA2;JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc);https://www.justetf.com/en/etf-profile.html?isin=IE0006SEWKA2;The JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc) is an actively managed ETF. The JPM Global Emerging Markets Research Enhanced Index Equity (ESG) Strategy index mainly invests in stock from the MSCI Emerging Market index, but may also invest in other stocks. The fund management tries to buy stocks, which are perceived to be the most likely ones, to surpass the reference index (MSCI Emerging Markets). Furthermore, the fund management tries to avoid companies of questionable ESG characteristics. The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The dividends in the ETF are accumulated and reinvested in the ETF. The JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc) is a very small ETF with 1m Euro assets under management. The ETF was launched on 15 October 2024 and is domiciled in Ireland.;JPMorgan Global Emerging Markets Research Enstex Index Equity (ESG) UCITS ETF EUR (ACC) je aktivně spravovaný ETF. Strategie strategie Global Emerging Markets Research Index Equity Equity Equity (ESG) Index výzkumu Global Emerging Markets Research Index Equity Equity Equity (ESG) investuje hlavně do akcií z rozvíjejícího se tržního indexu MSCI, ale může také investovat do jiných akcií. Správa fondů se snaží koupit akcie, které jsou vnímány jako nejpravděpodobnější, překonat referenční index (MSCI Emerging Trhy). Kromě toho se správa fondů snaží vyhnout společnostem pochybných charakteristik ESG. TER (celkový poměr nákladů) činí 0,30% p.a. dividenday v ETF jsou akumulovány a reinvestovány do ETF. JPMorgan Global Emerging Markets Research Enstex Index Equity (ESG) UCITS ETF EUR (ACC) je velmi malý ETF s 1m euro managementu. ETF byl spuštěn 15. října 2024 a je se sídlem v Irsku.;0.30%;0.3;EUR 1m;1.0;EUR;EUR;Ireland;JPMorgan;15 October 2024;Accumulating;;Physical;;;risk  Actively managed    Sustainability  Yes;Yes;Akcie;False;Rozvíjející se země;391.0;;;;12.81;;;;;;;;;;;;;;;gettex;JEEM;3;;;;;;;2025-09-18T12:53:13.752316;success;0;;;;;;;;;;;;;;;;;;;;;China;28.82;Other;27.9;;;;;;;Technology;23.55;Financials;23.39;Consumer Discretionary;12.22;;;;;gettex;EUR;JEEM;;;;Borsa Italiana;EUR;JEME;JEME IMJEMEEUIV;JEME.MIJEMEEUiv.P;;XETRA;EUR;JEEM;JEEM GYJEMEEUIV;JEEM.DEJEMEEUiv.P;;;;;;;;;;;;;;;;;;;;
