isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker
IE00BFNM3P36;iShares MSCI EM IMI Screened UCITS ETF USD (Acc);https://www.justetf.com/en/etf-profile.html?isin=IE00BFNM3P36;The iShares MSCI EM IMI Screened UCITS ETF USD (Acc) seeks to track the MSCI Emerging Markets IMI Screened index. The MSCI Emerging Markets IMI Screened index tracks large-, mid- and small-cap companies from emerging markets. The index excludes companies that are involved in businesses related to thermal coal, controversial weapons, tobacco and other controversial industries. The ETF's TER (total expense ratio) amounts to 0.18% p.a.. The iShares MSCI EM IMI Screened UCITS ETF USD (Acc) is the cheapest and largest ETF that tracks the MSCI Emerging Markets IMI Screened index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The iShares MSCI EM IMI Screened UCITS ETF USD (Acc) is a very large ETF with 4,492m Euro assets under management. The ETF was launched on 19 October 2018 and is domiciled in Ireland. Show more Show less;IShares MSCI EM IMI Screeked UCITS ETF USD (ACC) se snaží sledovat index promítaných trhů MSCI IMI.Rozvíjející se trhy MSCI IMI prověřovaly indexové skladby velké, střední a malé společnosti z rozvíjejících se trhů.Index vylučuje společnosti, které se podílejí na podnicích souvisejících s tepelným uhlím, kontroverzními zbraněmi, tabákem a jinými kontroverzními průmysly.TER (celkový poměr nákladů) činí 0,18% p.a. IShares MSCI EM IMI Screened UCITS ETF USD (ACC) je nejlevnější a největší ETF, který sleduje index promítaných trhů MSCI IMI.ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu).dividenday v ETF jsou akumulovány a reinvestovány do ETF.IShares MSCI EM IMI Screeked UCITS ETF USD (ACC) je velmi velký ETF s managementem 4 492 mil. EUR.ETF byl spuštěn 19. října 2018 a je se sídlem v Irsku.Ukázat více show méně;0.18%;0.18;EUR 4492m;4492.0;EUR;USD;Ireland;iShares;19 October 2018;Accumulating;;Physical;;MSCI EM IMI Screened  USD;;Yes;Akcie;US;2693.0;17.17;27.47;38.37;10.13;15.55;14.13;14.66;1.1;;;-18.05;;;;;;;;Extracted (method 1);AYEM;6;;;;;;;2025-09-16T22:37:02.868065;success;0;;;;;;;;;;;;;;;;;;;;;Other;28.53;China;24.52;;;;;;;Technology;24.42;Financials;21.93;Consumer Discretionary;11.96;;;;;London Stock Exchange;GBP;;;;;Stuttgart Stock Exchange;EUR;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;;gettex;EUR;;;;
IE00BFNNN012;WisdomTree AT1 CoCo Bond UCITS ETF USD Hedged;https://www.justetf.com/en/etf-profile.html?isin=IE00BFNNN012;The WisdomTree AT1 CoCo Bond UCITS ETF USD Hedged seeks to track the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (USD Hedged) index. The iBoxx® Contingent Convertible Liquid Developed Europe AT1 (USD Hedged) index tracks the performance of financial institutions AT1 contingent convertible debt denominated in EUR, USD and GBP. The index rules aim to offer a good coverage of the Coco bond universe, whilst upholding minimum standards of investability and liquidity. Currency hedged to US-Dollar (USD). The ETF's TER (total expense ratio) amounts to 0.39% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The WisdomTree AT1 CoCo Bond UCITS ETF USD Hedged is a very small ETF with 6m Euro assets under management. The ETF was launched on 21 August 2018 and is domiciled in Ireland. Show more Show less;WisdomTree AT1 Coco Bond UCITS ETF USD Hedged se snaží sledovat index konvertibilní kabriolet IBOXX® s konvertibilním kapalinou vyvinutý Evropu AT1 (USD Hedged).Index IBOXX® Contingent Convertible Liquid vyvinul Europe AT1 (USD Hedged) index výkon finančních institucí AT1 kontingentní konvertibilní dluh denominovaný v EUR, USD a GBP.Cílem pravidel indexu je nabídnout dobré pokrytí vesmíru Coco Bond a přitom dodržovat minimální standardy investovatelnosti a likvidity.Měna byla zajištěna do amerického dolaru (USD).TER (celkový poměr výdajů) ETF činí 0,39% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu).Úrokové výnosy (kupóny) v ETF jsou distribuovány investorům (semifinále každoročně).WisdomTree AT1 Coco Bond UCITS ETF USD Hedged je velmi malý ETF s spravováním 6 milionů euro.ETF byl spuštěn 21. srpna 2018 a má bydliště v Irsku.Ukázat více show méně;0.39%;0.39;EUR 6m;6.0;EUR;USD;Ireland;WisdomTree;21 August 2018;;Semi annually;Physical;;;Bonds, EUR, Europe, Convertible Bonds, All maturities;Yes;Dluhopisy;US;154.0;4.83;10.45;27.17;-4.19;9.3;10.04;9.0;0.52;;;-12.22;;;;;;;;Extracted (method 1);CODO;4;6.24%;6.24;EUR 5.32;5.32;EUR;method2_regex;2025-09-16T22:37:08.377677;success;0;;;;;;;;;;;;;;;;;;;;;Other;45.4;United Kingdom;22.47;France;11.64;Switzerland;11.58;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;Six Swiss Exchange;CHF;;;;;gettex;EUR;;;;;NASDAQ;EUR;;;;;;;;;;
IE00BFNNN236;WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged;https://www.justetf.com/en/etf-profile.html?isin=IE00BFNNN236;The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged seeks to track the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index. The iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index tracks the performance of financial institutions AT1 contingent convertible debt denominated in EUR, USD and GBP. The index rules aim to offer a good coverage of the Coco bond universe, whilst upholding minimum standards of investability and liquidity. The index consists of ESG (environmental, social and governance) screened bonds. Currency hedged to Euro (EUR). The ETF's TER (total expense ratio) amounts to 0.39% p.a.. The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged is the only ETF that tracks the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged has 275m Euro assets under management. The ETF was launched on 21 August 2018 and is domiciled in Ireland. Show more Show less;WisdomTree AT1 Coco Bond UCITS ETF EUR Hedged se snaží sledovat index konvertibilní kapaliny IBOXX® s konvertibilním kapalinou vyvinutou Evropu AT1 (Hedged).Index IBOXX® Contingent Convertible Liquid vyvinul Europe AT1 (EUR Hedged) index výkonnosti finančních institucí AT1 kontingentního kabrioletového dluhu denominovaného v EUR, USD a GBP.Cílem pravidel indexu je nabídnout dobré pokrytí vesmíru Coco Bond a přitom dodržovat minimální standardy investovatelnosti a likvidity.Index se skládá z ESG (environmentální, sociální a správa věcí veřejných) prověřených dluhopisů.Měna zajišťovala euro (EUR).TER (celkový poměr nákladů) činí 0,39% P.A.ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu).Úrokové výnosy (kupóny) v ETF jsou distribuovány investorům (semifinále každoročně).WisdomTree AT1 Coco Bond UCITS ETF EUR Hedged má ve spravování 275 milionů euro aktiv.ETF byl spuštěn 21. srpna 2018 a má bydliště v Irsku.Ukázat více show méně;0.39%;0.39;EUR 275m;275.0;EUR;EUR;Ireland;WisdomTree;21 August 2018;;Semi annually;Physical;;;;Yes;Dluhopisy;Globální;154.0;9.07;21.94;15.04;7.2;7.48;9.94;9.39;1.21;;;-5.22;;;;;;;;Extracted (method 1);WTEB;5;5.86%;5.86;EUR 5.04;5.04;EUR;method2_regex;2025-09-16T22:37:12.984749;success;0;;;;;;;;;;;;;;;;;;;;;Other;45.4;United Kingdom;22.47;France;11.64;Switzerland;11.58;;;;;;;;;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;;Borsa Italiana;EUR;;;;;gettex;EUR;;;;;NASDAQ;EUR;;;;
IE00BFNNN343;WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged Acc;https://www.justetf.com/en/etf-profile.html?isin=IE00BFNNN343;The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged Acc seeks to track the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index. The iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index tracks the performance of financial institutions AT1 contingent convertible debt denominated in EUR, USD and GBP. The index rules aim to offer a good coverage of the Coco bond universe, whilst upholding minimum standards of investability and liquidity. The index consists of ESG (environmental, social and governance) screened bonds. Currency hedged to Euro (EUR). The ETF's TER (total expense ratio) amounts to 0.39% p.a.. The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged Acc is the only ETF that tracks the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (EUR Hedged) index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged Acc is a very small ETF with 4m Euro assets under management. The ETF was launched on 11 March 2025 and is domiciled in Ireland. Show more Show less;WisdomTree AT1 Coco Bond UCITS ETF EUR HEDGED ACC se snaží sledovat index konvertibilní kabriolet IBOXX® s konvertibilním kapalinou vyvinutý Evropu AT1 (EUR Hedged).Index IBOXX® Contingent Convertible Liquid vyvinul Europe AT1 (EUR Hedged) index výkonnosti finančních institucí AT1 kontingentního kabrioletového dluhu denominovaného v EUR, USD a GBP.Cílem pravidel indexu je nabídnout dobré pokrytí vesmíru Coco Bond a přitom dodržovat minimální standardy investovatelnosti a likvidity.Index se skládá z ESG (environmentální, sociální a správa věcí veřejných) prověřených dluhopisů.Měna zajišťovala euro (EUR).TER (celkový poměr nákladů) činí 0,39% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu).Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF.WisdomTree AT1 Coco Bond UCITS ETF EUR EUR ACC je velmi malý ETF s řízením 4 milionu euro.ETF byl spuštěn 11. března 2025 a je sídlem v Irsku.Ukázat více show méně;0.39%;0.39;EUR 4m;4.0;EUR;EUR;Ireland;WisdomTree;11 March 2025;Accumulating;;Physical;;;;Yes;Dluhopisy;Globální;154.0;;;;;;;;;;;;;;;;;;;Extracted (method 1);COBA;3;;;;;;;2025-09-16T22:37:19.087776;success;0;;;;;;;;;;;;;;;;;;;;;Other;100.0;;;;;;;;;;;;;;;;;;;Borsa Italiana;EUR;;;;;gettex;EUR;;;;;NASDAQ;EUR;;;;;;;;;;;;;;;;
IE00BFNNN459;WisdomTree AT1 CoCo Bond UCITS ETF GBP Hedged;https://www.justetf.com/en/etf-profile.html?isin=IE00BFNNN459;The WisdomTree AT1 CoCo Bond UCITS ETF GBP Hedged seeks to track the iBoxx® Contingent Convertible Liquid Developed Europe AT1 (GBP Hedged) index. The iBoxx® Contingent Convertible Liquid Developed Europe AT1 (GBP Hedged) index tracks the performance of financial institutions AT1 contingent convertible debt denominated in EUR, USD and GBP. The index rules aim to offer a good coverage of the Coco bond universe, whilst upholding minimum standards of investability and liquidity. Currency hedged to British pound (GBP). The ETF's TER (total expense ratio) amounts to 0.39% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is distributed to the investors (Quarterly). The WisdomTree AT1 CoCo Bond UCITS ETF GBP Hedged is a very small ETF with 12m Euro assets under management. The ETF was launched on 21 August 2018 and is domiciled in Ireland. Show more Show less;WisdomTree AT1 Coco Bond UCITS ETF GBP Hedged usiluje o sledování indexu konvertibilní kapaliny IBOXX® s konvertibilním kapalinou vyvinuto Evropu AT1 (GBP Hedged).Index IBOXX® Contingent Convertible Liquid vyvinul Europe AT1 (GBP Hedged) index výkon finančních institucí AT1 podmíněných konvertibilních dluhů denominovaných v EUR, USD a GBP.Cílem pravidel indexu je nabídnout dobré pokrytí vesmíru Coco Bond a přitom dodržovat minimální standardy investovatelnosti a likvidity.Měna zajišťovala britskou libru (GBP).TER (celkový poměr výdajů) ETF činí 0,39% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu).Úrokové výnosy (kupóny) v ETF jsou distribuovány investorům (čtvrtletně).WisdomTree AT1 Coco Bond UCITS ETF GBP Hedged je velmi malý ETF s 12m euro managementu.ETF byl spuštěn 21. srpna 2018 a má bydliště v Irsku.Ukázat více show méně;0.39%;0.39;EUR 12m;12.0;EUR;GBP;Ireland;WisdomTree;21 August 2018;;Quarterly;Physical;;;Bonds, EUR, Europe, Convertible Bonds, All maturities;Yes;Dluhopisy;Globální;154.0;8.23;27.87;29.62;3.9;9.49;11.74;11.3;0.87;;;-9.36;;;;;;;;Extracted (method 1);COGO;4;5.91%;5.91;EUR 6.31;6.31;EUR;method2_regex;2025-09-16T22:37:25.760636;success;0;;;;;;;;;;;;;;;;;;;;;Other;45.4;United Kingdom;22.47;France;11.64;Switzerland;11.58;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;Six Swiss Exchange;CHF;;;;;gettex;EUR;;;;;NASDAQ;EUR;;;;;;;;;;
IE00BFTWP510;SPDR EURO STOXX Low Volatility UCITS ETF EUR;https://www.justetf.com/en/etf-profile.html?isin=IE00BFTWP510;The SPDR EURO STOXX Low Volatility UCITS ETF EUR seeks to track the EURO STOXX® Low Risk Weighted 100 index. The EURO STOXX® Low Risk Weighted 100 index tracks the 100 companies in the eurozone with the lowest volatility. The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The SPDR EURO STOXX Low Volatility UCITS ETF EUR is the only ETF that tracks the EURO STOXX® Low Risk Weighted 100 index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The SPDR EURO STOXX Low Volatility UCITS ETF EUR is a small ETF with 47m Euro assets under management. The ETF was launched on 24 March 2014 and is domiciled in Ireland. Show more Show less;SPDR EURO STOXX Nízká volatilita UCITS ETF EUR se snaží sledovat index 100 s nízkým rizikem Euro Stoxx® s nízkým rizikem.Index Euro Stoxx® s nízkým rizikem váží 100 společností v eurozóně s nejnižší volatilitou.TER (celkový poměr nákladů) činí 0,30% P.A .. SPDR EURO STOXX Nízká volatilita UCITS ETF EUR je jediným ETF, který sleduje index Euro Stoxx® s nízkým rizikem 100.ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu).dividenday v ETF jsou akumulovány a reinvestovány do ETF.SPDR EURO STOXX Nízká volatilita UCITS ETF EUR je malá ETF s spravováním 47 milionů EUR.ETF byl spuštěn 24. března 2014 a je se sídlem v Irsku.Ukázat více show méně;0.30%;0.3;EUR 47m;47.0;EUR;EUR;Ireland;SPDR;24 March 2014;;;Physical;;;;;Akcie;Evropa;100.0;13.4;40.71;45.86;15.57;11.32;10.53;11.74;1.18;;;-9.38;;;;;;;;Extracted (method 1);ZPRL;6;;;;;;;2025-09-16T22:37:31.265966;success;0;;;;;;;;;;;;;;;;;;;;;Other;35.66;France;23.32;Germany;14.92;;;;;Financials;21.08;Utilities;16.14;Consumer Staples;11.6;Industrials;10.04;;;Stuttgart Stock Exchange;EUR;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;;Borsa Italiana;EUR;;;;;gettex;EUR;;;;
IE00BFWFPX50;SPDR S&P U.S. Communication Services Select Sector UCITS ETF USD;https://www.justetf.com/en/etf-profile.html?isin=IE00BFWFPX50;The SPDR S&P U.S. Communication Services Select Sector UCITS ETF USD seeks to track the S&P Communication Services Select Sector Daily Capped 35/20 index. The S&P Communication Services Select Sector Daily Capped 35/20 index tracks US communications service companies represented in the S&P 500 Index and assigned to the communications services sector under the Global Industry Classification Standard (GICS). The ETF's TER (total expense ratio) amounts to 0.15% p.a.. The SPDR S&P U.S. Communication Services Select Sector UCITS ETF USD is the only ETF that tracks the S&P Communication Services Select Sector Daily Capped 35/20 index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The SPDR S&P U.S. Communication Services Select Sector UCITS ETF USD has 332m Euro assets under management. The ETF was launched on 15 August 2018 and is domiciled in Ireland. Show more Show less;SPDR S&P USA Communication Services Select Sector UCITS ETF USD se snaží sledovat sektor S&P Communication Services Denně omezený index 35/20.S&P Communication Services Select Sector Daily Limips 35/20 Index sleduje americké komunikační služby zastoupené v indexu S&P 500 a přiřazeno sektoru komunikačních služeb v rámci standardu klasifikace globálního průmyslu (GICS).TER (celkový poměr nákladů) činí 0,15% P.A .. SPDR S&P USA Communication Services Select Sector UCITS ETF USD je jediným ETF, který sleduje denně spravovaný sektor S&P Communication Selection 35/20.ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu).dividenday v ETF jsou akumulovány a reinvestovány do ETF.SPDR S&P USA Communication Services Select Sector UCITS ETF USD má 332 milionů euro aktiv.ETF byl spuštěn 15. srpna 2018 a je se sídlem v Irsku.Ukázat více show méně;0.15%;0.15;EUR 332m;332.0;EUR;USD;Ireland;SPDR;15 August 2018;;;Physical;;;Equity, United States, Telecommunication;;Akcie;US;24.0;34.13;97.11;111.76;12.7;20.06;20.27;21.27;1.7;;;-21.17;;;;;;;;Extracted (method 1);ZPDK;8;;;;;;;2025-09-16T22:37:37.220544;success;0;;;;;;;;;;;;;;;;;;;;;United States;99.67;;;;;;;;;Technology;1.15;;;;;;;;;London Stock Exchange;GBP;;;;;Stuttgart Stock Exchange;EUR;;;;;Euronext Amsterdam;EUR;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;
IE00BFWFPY67;SPDR Bloomberg Emerging Markets Local Bond UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=IE00BFWFPY67;The SPDR Bloomberg Emerging Markets Local Bond UCITS ETF seeks to track the Bloomberg Emerging Markets Local Currency Liquid Government Bond index. The Bloomberg Emerging Markets Local Currency Liquid Government Bond index tracks liquid local currency emerging markets debt. Country exposure is limited to a maximum of 10%. The ETF's TER (total expense ratio) amounts to 0.55% p.a.. The SPDR Bloomberg Emerging Markets Local Bond UCITS ETF is the cheapest ETF that tracks the Bloomberg Emerging Markets Local Currency Liquid Government Bond index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The SPDR Bloomberg Emerging Markets Local Bond UCITS ETF is a small ETF with 51m Euro assets under management. The ETF was launched on 20 July 2018 and is domiciled in Ireland. Show more Show less;SPDR Bloomberg Emerging Markets Local Bond UCITS ETF se snaží sledovat Bloomberg Emerging Markets Local Currency Liquid Government Bond Index.Bloomberg se rozvíjející trhy místní měny Likvidní vládní index dluhopisů sleduje likvidní místní měnu rozvíjející se trhy dluh.Expozice země je omezena na maximálně 10%.TER (celkový poměr nákladů) činí 0,55% P.A .. SPDR Bloomberg Emerging Markets Local Bond UCITS ETF je nejlevnější ETF, který sleduje Bloomberg Emerging Markets Trhy lokálních měnových likvidních vládních dluhopisů.ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu).Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF.SPDR Bloomberg Emerging Markets Local Bond UCITS ETF je malý ETF s managementem 51 milionů euro.ETF byl spuštěn 20. července 2018 a je se sídlem v Irsku.Ukázat více show méně;0.55%;0.55;EUR 51m;51.0;EUR;USD;Ireland;SPDR;20 July 2018;;;Physical;;Bloomberg Emerging Markets Local Bond;Bonds, Emerging Markets, Government, All maturities;;Dluhopisy;Rozvíjející se země;568.0;2.01;8.26;7.4;0.86;5.99;6.36;6.46;0.34;;;-7.73;;;;;;;;Extracted (method 1);SPFA;6;;;;;;;2025-09-16T22:37:44.911027;success;0;;;;;;;;;;;;;;;;;;;;;Other;63.82;China;8.32;;;;;;;;;;;;;;;;;Stuttgart Stock Exchange;EUR;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;;Borsa Italiana;EUR;;;;;gettex;EUR;;;;
IE00BFWMQ331;Invesco MSCI Saudi Arabia UCITS UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=IE00BFWMQ331;The Invesco MSCI Saudi Arabia UCITS UCITS ETF seeks to track the MSCI Saudi Arabia 20/35 index. The MSCI Saudi Arabia 20/35 index tracks the Saudi Arabian stock market. The index covers about 85 percent of the market. The largest position in the index is limited to a weight of 35 percent. All other companies in the index are limited to 20 percent. The ETF's TER (total expense ratio) amounts to 0.50% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Invesco MSCI Saudi Arabia UCITS UCITS ETF is a small ETF with 32m Euro assets under management. The ETF was launched on 12 June 2018 and is domiciled in Ireland. Show more Show less;Invesco MSCI Saúdská Arábie UCITS UCITS ETF se snaží sledovat index MSCI Saúdské Arábie 20/35.Index MSCI Saúdská Arábie 20/35 sleduje saúdskoarabský akciový trh.Index pokrývá asi 85 procent trhu.Největší poloha v indexu je omezena na hmotnost 35 procent.Všechny ostatní společnosti v indexu jsou omezeny na 20 procent.ETF TER (celkový poměr nákladů) činí 0,50% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou.dividenday v ETF jsou akumulovány a reinvestovány do ETF.Invesco MSCI Saúdská Arábie UCITS UCITS ETF je malá ETF s managementem 32 milionů euro.ETF byl spuštěn 12. června 2018 a má bydliště v Irsku.Ukázat více show méně;0.50%;0.5;EUR 32m;32.0;EUR;USD;Ireland;Invesco;12 June 2018;;;Synthetic (Unfunded swap);;MSCI Saudi Arabia UCITS;Equity, Saudi Arabia;;Akcie;Ostatní;;-10.95;-23.04;39.03;-18.13;15.12;15.77;15.81;;;;-21.22;;;;;;;;Extracted (method 1);MSAU;4;;;;;;;2025-09-16T22:37:52.066428;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;Six Swiss Exchange;CHF;;;;;gettex;EUR;;;;;NASDAQ;EUR;;;;;;;;;;
IE00BFWXDV39;Franklin FTSE Asia ex China ex Japan UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=IE00BFWXDV39;The Franklin FTSE Asia ex China ex Japan UCITS ETF seeks to track the FTSE Asia ex Japan ex China index. The FTSE Asia ex Japan ex China index tracks mid and large cap stocks from Asia (excluding China and Japan). The ETF's TER (total expense ratio) amounts to 0.14% p.a.. The Franklin FTSE Asia ex China ex Japan UCITS ETF is the only ETF that tracks the FTSE Asia ex Japan ex China index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The Franklin FTSE Asia ex China ex Japan UCITS ETF is a large ETF with 503m Euro assets under management. The ETF was launched on 27 September 2018 and is domiciled in Ireland. Show more Show less;Franklin Ftse Asia Ex China Ex Japan UCITS ETF se snaží sledovat index FTSE Asia Ex Japan Ex China.Index FTSE Asia Ex Japan Ex China Sleduje akciíy středních a velkých čepic z Asie (s výjimkou Číny a Japonska).TER (celkový poměr nákladů) činí 0,14% P.A .. Franklin FTSE Asia Ex China Ex Japan UCITS ETF je jediný ETF, který sleduje index FTSE Asia Ex Japan Ex China.ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu).dividenday v ETF jsou akumulovány a reinvestovány do ETF.Franklin Ftse Asia Ex China Ex Japan UCITS ETF je velký ETF s managementem 503 milionů euro.ETF byl spuštěn 27. září 2018 a je se sídlem v Irsku.Ukázat více show méně;0.14%;0.14;EUR 503m;503.0;EUR;USD;Ireland;Franklin;27 September 2018;;;Physical;;FTSE Asia ex China ex Japan;Equity, Asia Pacific;;Akcie;Čína;742.0;6.98;23.03;47.18;4.83;14.92;13.59;12.82;0.47;;;-18.52;;;;;;;;Extracted (method 1);FVSJ;7;;;;;;;2025-09-16T22:37:56.554400;success;0;;;;;;;;;;;;;;;;;;;;;Other;16.67;;;;;;;;;Technology;35.11;Financials;22.16;Industrials;8.91;Consumer Discretionary;6.45;;;London Stock Exchange;GBP;;;;;Six Swiss Exchange;CHF;;;;;XETRA;EUR;;;;;Borsa Italiana;EUR;;;;;gettex;EUR;;;;
