isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
LU1324516720;UBS BBG USD EM Sovereign UCITS ETF hCHF acc;https://www.justetf.com/en/etf-profile.html?isin=LU1324516720;The UBS BBG USD EM Sovereign UCITS ETF hCHF acc seeks to track the Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Capped (CHF Hedged) index. The Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Capped (CHF Hedged) index tracks the US dollar-denominated debt issued by sovereign and agency EM issuers. Corporate issues are not eligible. Country weights are capped at 3% of total amount outstanding of all eligible issues. Currency hedged to Swiss Francs (CHF). The ETF's TER (total expense ratio) amounts to 0.28% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The UBS BBG USD EM Sovereign UCITS ETF hCHF acc is a very small ETF with 13m Euro assets under management. The ETF was launched on 31 March 2016 and is domiciled in Luxembourg.;UBS BBG USD EM Sovereign UCITS ETF HCHF ACC se snaží sledovat index Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Coupped (CHF Hedged). Index Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Coupped (CHF Hedged) sleduje americký dluh vydaný dolarem vydaným panovníkem a agenturou EM. Firemní problémy nejsou způsobilé. Hmotnosti země jsou omezeny na 3% z celkové částky z všech způsobilých problémů. Měna byla zajištěna švýcarským frankům (CHF). TER (celkový poměr nákladů) ETF činí 0,28% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. UBS BBG USD EM Sovereign UCITS ETF HCHF ACC je velmi malý ETF s 13 miliony euro. ETF byl spuštěn 31. března 2016 a je se sídlem v Lucemburku.;0.28%;0.28;EUR 13m;13.0;EUR;CHF;Luxembourg;UBS;31 March 2016;Accumulating;;Physical;;;Bonds, USD, Emerging Markets, Government, All maturities;;Dluhopisy;False;Rozvíjející se země;666.0;6.65;24.01;6.28;9.13;8.07;10.49;10.39;0.82;0.71;0.12;-6.87;-10.89;-25.95;-26.57;;;;;Extracted (method 1);SBEMS;0;;;;;;;2025-09-19T11:38:48.588802;success;0;XS2893151287;0.73;XS2574267261;0.65;XS1729875598;0.59;;;;;;;;;;;;;;;Other;85.81;;;;;;;;;IT;9.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;49.0;12.0;1.0;11.0;5.0;20.0
LU1324517454;UBS BBG USD EM Sovereign UCITS ETF USD acc;https://www.justetf.com/en/etf-profile.html?isin=LU1324517454;The UBS BBG USD EM Sovereign UCITS ETF USD acc seeks to track the Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Capped index. The Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Capped index tracks the US dollar-denominated debt issued by sovereign and agency EM issuers. Corporate issues are not eligible. Country weights are capped at 3% of total amount outstanding of all eligible issues. The ETF's TER (total expense ratio) amounts to 0.25% p.a.. The UBS BBG USD EM Sovereign UCITS ETF USD acc is the only ETF that tracks the Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Capped index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The UBS BBG USD EM Sovereign UCITS ETF USD acc is a very small ETF with 8m Euro assets under management. The ETF was launched on 31 January 2018 and is domiciled in Luxembourg.;UBS BBG USD EM Sovereign UCITS ETF USD ACC se snaží sledovat index Bloomberg Emerging Markets USD Sovereign & Agency 3% Country. Index Bloomberg Emerging Markets USD Sovereign & Agency 3% Country Sleys americký dluh denominovaný dolarem vydaný panovníkem a agenturou EM emitanti. Firemní problémy nejsou způsobilé. Hmotnosti země jsou omezeny na 3% z celkové částky z všech způsobilých problémů. TER (celkový poměr výdajů) ETF činí 0,25% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. UBS BBG USD EM Sovereign UCITS ETF USD ACC je velmi malý ETF s managementem 8 milionů euro. ETF byl spuštěn 31. ledna 2018 a má bydliště v Lucemburku.;0.25%;0.25;EUR 8m;8.0;EUR;USD;Luxembourg;UBS;31 January 2018;Accumulating;;Physical;;;Bonds, USD, Emerging Markets, Government, All maturities;;Dluhopisy;False;Rozvíjející se země;666.0;3.64;16.54;9.31;-2.26;9.18;8.66;8.37;0.4;0.6;0.21;-13.11;-13.11;-17.6;-21.34;;;;;Extracted (method 1);SBEMA;0;;;;;;;2025-09-19T11:38:56.118538;success;0;XS2893151287;0.73;XS2574267261;0.65;XS1729875598;0.59;;;;;;;;;;;;;;;Other;85.81;;;;;;;;;IT;2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;54.0;17.0;1.0;11.0;5.0;20.0
LU1327051279;Amundi MSCI USA Daily (-1x) Inverse UCITS ETF Acc;https://www.justetf.com/en/etf-profile.html?isin=LU1327051279;The Amundi MSCI USA Daily (-1x) Inverse UCITS ETF Acc seeks to track the MSCI USA Short index. The MSCI USA Short index tracks the inverse performance of MSCI USA on a daily basis. The MSCI USA index tracks leading stocks on the US market. The ETF's TER (total expense ratio) amounts to 0.60% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI USA Daily (-1x) Inverse UCITS ETF Acc is a small ETF with 32m Euro assets under management. The ETF was launched on 14 December 2015 and is domiciled in Luxembourg.;Amundi MSCI USA denně (-1x) inverzní UCITS ETF ACC se snaží sledovat krátký index MSCI USA. Krátký index MSCI USA každý den sleduje inverzní výkon MSCI USA. Index MSCI USA sleduje přední akciíy na americkém trhu. TER (celkový poměr nákladů) ETF činí 0,60% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Amundi MSCI USA denně (-1x) inverzní UCITS ETF ACC je malá ETF s managementem 32 milionů euro. ETF byla spuštěna 14. prosince 2015 a je bydliště v Lucemburku.;0.60%;0.6;EUR 32m;32.0;EUR;USD;Luxembourg;Amundi;14 December 2015;Accumulating;;Synthetic (Unfunded swap);Strategy risk  Short    Sustainability  No;MSCI USA Daily;Equity, United States;;Akcie;False;US;;-17.06;-58.84;-71.68;-20.29;20.41;27.4;31.76;-0.84;-0.93;-0.7;-29.56;-65.47;-73.27;-95.4;;;;;Borsa Italiana;-;5;;;;;;;2025-09-19T11:39:03.891525;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;VOON;;;;Borsa Italiana;EUR;SPX2S;;;;Borsa Italiana;EUR;-;SPX2S IMDSP5IV;SPX2S.MIDSP5INAV=SOLA;;Euronext Paris;EUR;DSP5;DSP5 FPDSP5IV;DSP5.PADSP5INAV=SOLA;;XETRA;EUR;VOON;VOON GYDSP5IV;VOON.DEDSP5INAV=SOLA;;2.0;36.0;6.0;1.0;11.0;10.0;8.0
LU1349386927;Xtrackers DAX UCITS ETF 1D;https://www.justetf.com/en/etf-profile.html?isin=LU1349386927;The Xtrackers DAX UCITS ETF 1D seeks to track the DAX® index. The DAX® index tracks the 40 largest and most traded German stocks listed on the Prime Standard segment of the Frankfurt Stock Exchange. The ETF's TER (total expense ratio) amounts to 0.09% p.a.. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are distributed to the investors (Annually). The Xtrackers DAX UCITS ETF 1D has 119m Euro assets under management. The ETF was launched on 8 April 2022 and is domiciled in Luxembourg.;Xtrackers DAX UCITS ETF 1D se snaží sledovat index DAX®. Index DAX® sleduje 40 největších a nejvíce obchodovaných německých akcií uvedených v hlavním standardním segmentu frankfurtské burzy. TER (celkový poměr nákladů) ETF činí 0,09% p.a. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou distribuovány investorům (každoročně). Xtrackers Dax UCITS ETF 1D má pod správou aktiva 119 milionů EUR. ETF byla zahájena 8. dubna 2022 a je sídlí v Lucemburku.;0.09%;0.09;EUR 119m;119.0;EUR;EUR;Luxembourg;Xtrackers;8 April 2022;;Annually;Physical;;;Equity, Germany;;Ostatní;False;Evropa;40.0;25.94;82.95;;18.29;17.54;14.83;;1.48;1.5;;-16.06;-16.06;;-18.36;;;;;Extracted (method 1);XDDA;0;2.13%;2.13;EUR 0.22;0.22;EUR;method2_regex;2025-09-19T11:39:10.623773;success;0;Siemens AG;10.2;Allianz SE;7.9;Deutsche Telekom AG;6.78;Airbus SE;6.23;Rheinmetall AG;4.69;Münchener Rückversicherungs-Gesellschaft AG;4.43;Siemens Energy AG;4.11;Deutsche Bank AG;3.36;Deutsche Börse AG;2.82;;;Germany;92.91;Netherlands;6.23;Other;0.86;;;;;Industrials;30.43;Financials;21.41;IT;18.29;Technology;17.01;Consumer Discretionary;7.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;67.0;26.0;5.0;6.0;10.0;20.0
LU1377381717;BNP Paribas Easy ESG Low Volatility Europe UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=LU1377381717;The BNP Paribas Easy ESG Low Volatility Europe UCITS ETF seeks to track the BNP Paribas Low Vol Europe ESG index. The BNP Paribas Low Vol Europe ESG index tracks European stocks with a low volatility. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance). The ETF's TER (total expense ratio) amounts to 0.31% p.a.. The BNP Paribas Easy ESG Low Volatility Europe UCITS ETF is the cheapest and largest ETF that tracks the BNP Paribas Low Vol Europe ESG index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The BNP Paribas Easy ESG Low Volatility Europe UCITS ETF is a small ETF with 55m Euro assets under management. The ETF was launched on 7 June 2016 and is domiciled in Luxembourg.;BNP Paribas Easy ESG s nízkou volatilitou Europe UCITS ETF se snaží sledovat index BNP Paribas Low Vol Europe ESG. Index BNP Paribas Low Vol Europe ESG sleduje evropské akcie s nízkou volatilitou. Zahrnuté akcie jsou filtrovány podle kritérií ESG (environmentální, sociální a správa a společností). TER (celkový poměr nákladů) ETF činí 0,31% P.A. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. BNP Paribas Easy ESG s nízkou volatilitou Europe UCITS ETF je malý ETF s managementem 55 milionů euro. ETF byl spuštěn 7. června 2016 a má bydliště v Lucemburku.;0.31%;0.31;EUR 55m;55.0;EUR;EUR;Luxembourg;BNP Paribas;7 June 2016;;;Synthetic (Unfunded swap);;;;Yes;Akcie;False;Evropa;;5.0;34.18;48.73;6.17;12.2;10.84;11.88;0.41;0.95;0.69;-12.35;-12.35;-19.88;-32.22;;;;;Borsa Italiana;EVOE;6;;;;;;;2025-09-19T11:39:15.963397;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;VLEU;;;;Stuttgart Stock Exchange;EUR;VLEU;;;;Borsa Italiana;EUR;EVOE;EVOE IMIEVOE;EVOE.MIEVOEINAV=IHSM;;Euronext Paris;EUR;EVOE;EVOE FPIEVOE;EVOE.PAEVOEINAV=IHSM;;SIX Swiss Exchange;EUR;EVOE;EVOE SEIEVOE;EVOE.SEVOEINAV=IHSM;;2.0;49.0;12.0;1.0;11.0;5.0;20.0
LU1377382103;BNP Paribas Easy ESG Quality Europe UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=LU1377382103;The BNP Paribas Easy ESG Quality Europe UCITS ETF seeks to track the BNP Paribas Quality Europe ESG index. The BNP Paribas Quality Europe ESG index tracks stocks with a high quality factor from countries in Europe. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance). The ETF's TER (total expense ratio) amounts to 0.31% p.a.. The BNP Paribas Easy ESG Quality Europe UCITS ETF is the cheapest and largest ETF that tracks the BNP Paribas Quality Europe ESG index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The BNP Paribas Easy ESG Quality Europe UCITS ETF is a small ETF with 64m Euro assets under management. The ETF was launched on 7 June 2016 and is domiciled in Luxembourg.;BNP Paribas Easy ESG Quality Europe UCITS ETF se snaží sledovat index Evropy Evropy BNP Paribas. Index BNP Paribas Quality Europe ESG sleduje akcie s vysoce kvalitním faktorem ze zemí Evropy. Zahrnuté akcie jsou filtrovány podle kritérií ESG (environmentální, sociální a správa a společností). TER (celkový poměr nákladů) činí 0,31% P.A .. BNP Paribas Easy ESG Quality Europe UCITS ETF je nejlevnější a největší ETF, který sleduje index ESG Evropy BNP Paribas. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. BNP Paribas Easy ESG Quality Europe UCITS ETF je malý ETF s managementem 64 milionů euro. ETF byl spuštěn 7. června 2016 a má bydliště v Lucemburku.;0.31%;0.31;EUR 64m;64.0;EUR;EUR;Luxembourg;BNP Paribas;7 June 2016;;;Synthetic (Unfunded swap);;;Equity, Europe,;Yes;Akcie;False;Evropa;;3.89;40.02;45.84;5.54;14.87;13.37;14.39;0.26;0.89;0.54;-18.3;-18.3;-27.15;-33.36;;;;;Borsa Italiana;EQUA;6;;;;;;;2025-09-19T11:39:22.950648;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;QUEU;;;;Stuttgart Stock Exchange;EUR;QUEU;;;;Borsa Italiana;EUR;EQUA;EQUA IMIEQUA;EQUA.MIEQUAINAV=IHSM;;Euronext Paris;EUR;EQUA;EQUA FPIEQUA;EQUA.PAEQUAINAV=IHSM;;SIX Swiss Exchange;EUR;EQUA;EQUA SEIEQUA;EQUA.SEQUAINAV=IHSM;;2.0;49.0;12.0;1.0;11.0;5.0;20.0
LU1377382285;BNP Paribas Easy ESG Value Europe UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=LU1377382285;The BNP Paribas Easy ESG Value Europe UCITS ETF seeks to track the BNP Paribas Value Europe ESG index. The BNP Paribas Value Europe ESG index tracks European stocks with a high value risk premia. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The BNP Paribas Easy ESG Value Europe UCITS ETF is the cheapest and largest ETF that tracks the BNP Paribas Value Europe ESG index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The BNP Paribas Easy ESG Value Europe UCITS ETF is a small ETF with 47m Euro assets under management. The ETF was launched on 7 June 2016 and is domiciled in Luxembourg.;BNP Paribas Easy ESG Hodnota Europe UCITS ETF se snaží sledovat index evropské evropské hodnoty BNP Paribas. Hodnota BNP Paribas Hodnocení Evropy ESG Index sleduje evropské akcie s vysokou hodnotou rizikovou prémií. Zahrnuté akcie jsou filtrovány podle kritérií ESG (environmentální, sociální a správa a společností). TER (celkový poměr nákladů) činí 0,30% P.A .. BNP Paribas Easy ESG Hodnota Europe UCITS ETF je nejlevnější a největší ETF, který sleduje index ESG hodnoty BNP Paribas. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. BNP Paribas Easy ESG Hodnota Europe UCITS ETF je malá ETF s managementem 47M EUR. ETF byl spuštěn 7. června 2016 a má bydliště v Lucemburku.;0.30%;0.3;EUR 47m;47.0;EUR;EUR;Luxembourg;BNP Paribas;7 June 2016;;;Synthetic (Unfunded swap);;;Equity, Europe, Value;Yes;Akcie;False;Evropa;;16.11;53.44;58.31;15.59;13.72;13.05;14.34;1.17;1.17;0.67;-14.15;-14.15;-31.18;-40.77;;;;;Borsa Italiana;EVAE;6;;;;;;;2025-09-19T11:39:28.750789;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;VALU;;;;Stuttgart Stock Exchange;EUR;VALU;;;;Borsa Italiana;EUR;EVAE;EVAE IMIEVAE;EVAE.MIEVAEINAV=IHSM;;Euronext Paris;EUR;EVAE;EVAE FPIEVAE;EVAE.PAEVAEINAV=IHSM;;SIX Swiss Exchange;EUR;EVAE;EVAE SEIEVAE;EVAE.SEVAEINAV=IHSM;;2.0;49.0;12.0;1.0;11.0;5.0;20.0
LU1377382368;BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=LU1377382368;The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF seeks to track the Low Carbon 100 Europe PAB index. The Low Carbon 100 Europe PAB index tracks tracks 100 companies from Europe. Only companies with low carbon emissions and a high ESG (environmental, social and governance) rating are considered. The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF is the only ETF that tracks the Low Carbon 100 Europe PAB index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF has 485m Euro assets under management. The ETF was launched on 2 June 2017 and is domiciled in Luxembourg.;BNP Paribas Easy Low Carbon 100 Europe Pab UCITS ETF se snaží sledovat index PAB s nízkým uhlíkem 100 Evropy. Index PAB s nízkým uhlíkem 100 sleduje sledování 100 společností z Evropy. Zvažují se pouze společnosti s emisemi s nízkým uhlíkem a vysokým hodnocením ESG (environmentální, sociální a správa věcí veřejných). TER (celkový poměr nákladů) ETF činí 0,30% P.A. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF má ve správě 485 milionů euro aktiv. ETF byla spuštěna 2. června 2017 a je bydliště v Lucemburku.;0.30%;0.3;EUR 485m;485.0;EUR;EUR;Luxembourg;BNP Paribas;2 June 2017;;;Physical;;;;Yes;Akcie;False;Evropa;99.0;1.02;33.29;46.84;3.14;14.08;12.67;13.93;0.07;0.79;0.57;-16.21;-16.21;-20.6;-33.51;;;;;Euronext Paris;ECN;6;;;;;;;2025-09-19T11:39:35.924201;success;0;Novartis AG;5.35;AstraZeneca PLC;4.83;Banco Santander SA;4.62;RELX;4.08;Nestlé SA;3.43;Experian;2.9;Assicurazioni Generali SpA;2.46;Sanofi;2.44;Sika AG;2.32;;;Other;33.85;United Kingdom;23.76;France;19.51;Switzerland;15.87;;;Financials;22.81;Industrials;21.55;Health Care;15.67;Consumer Staples;15.25;;;gettex;EUR;LCEU;;;;Stuttgart Stock Exchange;EUR;LCEU;;;;Borsa Italiana;EUR;LCEU;LCEU IMINECN;LCEU.MIECNINAV=IHSM;;Euronext Paris;EUR;ECN;ECN FPINECN;ECN.PAECNINAV=IHSM;;SIX Swiss Exchange;EUR;LCEU;LCEU SEINECN;LCEU.SECNINAV=IHSM;;3.0;53.0;12.0;5.0;11.0;5.0;20.0
LU1377382442;BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF Dist;https://www.justetf.com/en/etf-profile.html?isin=LU1377382442;The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF Dist seeks to track the Low Carbon 100 Europe PAB index. The Low Carbon 100 Europe PAB index tracks tracks 100 companies from Europe. Only companies with low carbon emissions and a high ESG (environmental, social and governance) rating are considered. The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF Dist is the only ETF that tracks the Low Carbon 100 Europe PAB index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are distributed to the investors (Annually). The BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF Dist is a small ETF with 32m Euro assets under management. The ETF was launched on 21 June 2023 and is domiciled in Luxembourg.;BNP Paribas Easy Low Carbon 100 Europe Pab UCITS ETF Dist se snaží sledovat index PAB s nízkým uhlíkem 100 Europe. Index PAB s nízkým uhlíkem 100 sleduje sledování 100 společností z Evropy. Zvažují se pouze společnosti s emisemi s nízkým uhlíkem a vysokým hodnocením ESG (environmentální, sociální a správa věcí veřejných). TER (celkový poměr nákladů) ETF činí 0,30% P.A. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou distribuovány investorům (každoročně). BNP Paribas Easy Low Carbon 100 Europe Pab UCITS ETF Dist je malý ETF s managementem 32 milionů EUR. ETF byla zahájena 21. června 2023 a je sídlí v Lucemburku.;0.30%;0.3;EUR 32m;32.0;EUR;EUR;Luxembourg;BNP Paribas;21 June 2023;Distributing;Annually;Physical;;;;Yes;Akcie;False;Evropa;99.0;14.08;;;;14.08;;;0.15;;;-16.19;;;-16.19;;;;;Euronext Paris;ECND;1;2.95%;2.95;EUR 0.32;0.32;EUR;method2_regex;2025-09-19T11:39:42.862039;success;0;Novartis AG;5.35;AstraZeneca PLC;4.83;Banco Santander SA;4.62;RELX;4.08;Nestlé SA;3.43;Experian;2.9;Assicurazioni Generali SpA;2.46;Sanofi;2.44;Sika AG;2.32;;;Other;33.85;United Kingdom;23.76;France;19.51;Switzerland;15.87;;;Financials;22.81;Industrials;21.55;Health Care;15.67;Consumer Staples;15.25;;;Euronext Paris;EUR;ECND;ECND FPIECND;ECND.PAECNDINAV=IHSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU1390062245;Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc;https://www.justetf.com/en/etf-profile.html?isin=LU1390062245;The Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc seeks to track the iBoxx® EUR Breakeven Euro-Inflation France & Germany index. The iBoxx® EUR Breakeven Euro-Inflation France & Germany index tracks breakeven inflation by entering into a long position in inflation-linked bonds issued by France and Germany and a short position in France and Germany sovereign bonds with adjacent durations. The ETF's TER (total expense ratio) amounts to 0.25% p.a.. The Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc is the only ETF that tracks the iBoxx® EUR Breakeven Euro-Inflation France & Germany index. The ETF replicates the performance of the underlying index synthetically with a swap. The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc has 120m Euro assets under management. The ETF was launched on 13 April 2016 and is domiciled in Luxembourg.;Očekávání inflace Amundi Euro 2-10Y UCITS ETF ACC se snaží sledovat index IBOXX® EUR Breakeven Euro-inflation Francie a Německo. Index indexu IBOXX® EUR Breakeven Euro-inflation France & Německo sleduje inflaci zlomu vstup do dlouhé pozice v inflačních dluhopisech vydaných Francií a Německem a krátká pozice ve Francii a Německu suverénní dluhopisy se sousedním trváním. TER (celkový poměr výdajů) činí 0,25% P.A. Očekávání inflace Amundi Euro 2-10Y UCITS ETF ACC je jediným ETF, který sleduje index IBOXX® EUR Breakeven Euro-inflation France & Německo. ETF replikuje výkon podkladového indexu synteticky s výměnou. Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. Očekávání inflace Amundi Euro 2-10Y UCITS ETF ACC má ve správě 120 milionů euro aktiv. ETF byl spuštěn 13. dubna 2016 a je bydliště v Lucemburku.;0.25%;0.25;EUR 120m;120.0;EUR;EUR;Luxembourg;Amundi;13 April 2016;Accumulating;;Synthetic (Unfunded swap);;;;;Ostatní;False;Evropa;;1.67;5.03;24.12;1.09;2.17;3.04;3.46;0.77;0.54;1.28;-1.54;-3.61;-4.11;-10.22;;;;;Borsa Italiana;-;8;;;;;;;2025-09-19T11:39:51.289112;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Borsa Italiana;EUR;INFL;;;;gettex;EUR;EUIN;;;;Stuttgart Stock Exchange;EUR;EUIN;;;;Borsa Italiana;EUR;-;INFL IMINFLAIV;INFL.MIINFLINAV=SOLA;;Euronext Paris;EUR;INFL;INFL FPINFLAIV;INFL.PAINFLINAV=SOLA;;3.0;57.0;17.0;5.0;11.0;10.0;14.0
