isin,name,original_ticker,working_ticker,current_price,currency,exchange,days_available,long_name
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),CSP1,CSP1.L,52614.0,GBp,LSE,5,iShares Core S&P 500 UCITS ETF USD (Acc)
IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),SWDA,SWDA.L,9316.0,GBp,LSE,5,iShares Core MSCI World UCITS ETF USD (Acc)
IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,VUSA,VUSA.L,93.245,GBP,LSE,5,Vanguard S&P 500 UCITS ETF
IE00B3YCGJ38,Invesco S&P 500 UCITS ETF Acc,SPXP,SPXP.L,97910.0,GBp,LSE,5,Invesco S&P 500 UCITS ETF
IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (,EMIM,EMIM.L,3200.0,GBp,LSE,5,iShares Core MSCI EM IMI UCITS ETF USD (Acc)
IE00B4ND3602,iShares Physical Gold ETC,SGLN,SGLN.L,5287.0,GBp,LSE,5,iShares Physical Gold ETC
IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,VUAA,VUAA.L,127.12,USD,LSE,5,Vanguard S&P 500 UCITS ETF USD Accumulation
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulati,VWCE,VWCE.DE,139.04,EUR,GER,5,Vanguard FTSE All-World UCITS ETF USD Accumulation
IE00B579F325,Invesco Physical Gold A,SGLD,SGLD.L,353.43,USD,LSE,5,Invesco Physical Gold ETC
IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),SSAC,SSAC.L,7751.0,GBp,LSE,5,iShares MSCI ACWI UCITS ETF USD Acc
IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributi,VWRL,VWRL.L,118.66,GBP,LSE,5,Vanguard FTSE All-World UCITS ETF
DE000A0S9GB0,Xetra-Gold,4GLD,4GLD.DE,100.57,EUR,GER,5,Xetra-Gold
LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,XEON,XEON.DE,147.245,EUR,GER,5,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C
IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),IUSA,IUSA.L,4899.75,GBp,LSE,5,iShares Core S&P 500 UCITS ETF USD Dist
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,XDWD,XDWD.L,137.33,USD,LSE,5,Xtrackers MSCI World UCITS ETF 1C
IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),ISF,ISF.L,896.0,GBp,LSE,5,iShares Core FTSE 100 UCITS ETF GBP (Dist)
IE00B6YX5C33,SPDR S&P 500 UCITS ETF (Dist),SPY5,SPY5.L,664.015,USD,LSE,5,SPDR S&P 500 UCITS ETF
LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc,LYP6,LYP6.DE,266.05,EUR,GER,5,Amundi Core Stoxx Europe 600 UCITS ETF Acc
IE00BFY0GT14,SPDR MSCI World UCITS ETF,SPPW,SPPW.DE,39.084,EUR,GER,5,SPDR MSCI World UCITS ETF
IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),SMEA,SMEA.L,7645.0,GBp,LSE,5,iShares Core MSCI Europe UCITS ETF EUR (Acc)
IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCIT,IITU,IITU.L,2979.0,GBp,LSE,5,iShares S&P 500 Information Technology Sector UCIT
IE00BFNM3G45,iShares MSCI USA Screened UCITS ETF USD (Acc),SGAS,SGAS.DE,11.738,EUR,GER,5,iShares MSCI USA Screened UCITS ETF USD (Acc)
LU1135865084,Amundi Core S&P 500 Swap UCITS ETF Acc,SP5C,SP5C.L,477.75,USD,LSE,5,Amundi Core S&P 500 Swap UCITS ETF Acc
IE00B4X9L533,HSBC MSCI World UCITS ETF USD,HMWO,HMWO.L,3188.75,GBp,LSE,5,HSBC MSCI World UCITS ETF
IE00BHZPJ890,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (D,OM3L,OM3L.DE,9.878,EUR,GER,5,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD In
IE000XZSV718,SPDR S&P 500 UCITS ETF (Acc),SPYL,SPYL.L,16.266,USD,LSE,5,SPDR S&P 500 UCITS ETF USD Acc
IE00BF4G7076,JPMorgan US Research Enhanced Index Equity (ESG) U,JREU,JREU.L,65.875,USD,LSE,5,JPMorgan ETFs (Ireland) ICAV - US Research Enhance
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,XD9U,XD9U.L,195.26,USD,LSE,5,Xtrackers MSCI USA UCITS ETF 1C
IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),IMEU,IMEU.L,3003.0,GBp,LSE,5,iShares Core MSCI Europe UCITS ETF EUR (Dist)
IE00BMTX1Y45,iShares S&P 500 Swap UCITS ETF USD (Acc),I500,I500.L,8.1685,GBP,LSE,5,iShares S&P 500 Swap UCITS ETF
IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,MWRD,MWRD.DE,117.005,GBP,GER,5,Amundi Core MSCI World UCITS ETF Acc
DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),EXW1,EXW1.DE,54.92,EUR,GER,5,iShares Core EURO STOXX 50 UCITS ETF (DE)
DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),EXSA,EXSA.DE,54.92,EUR,GER,5,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Dist)
FR0013416716,Amundi Physical Gold ETC (C),GOLD,GOLD.MI,123.95,EUR,MIL,5,Amundi Physical Gold ETC
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,XZMU,XZMU.L,71.96,USD,LSE,5,Xtrackers MSCI USA ESG UCITS ETF 1C
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),IBCF,IBCF.DE,137.91,EUR,GER,5,iShares S&P 500 EUR Hedged UCITS ETF (Acc)
IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,XDEW,XDEW.L,103.55,USD,LSE,5,Xtrackers S&P 500 Equal Weight UCITS ETF 1C
